8,5322220,5|0000000 0010001 0100001 0000011 0000011 0001101 0111110 
8,6322111,4|0000001 0000001 0000001 0000011 0000011 0001101 1111110 
8,5422111,4|0000010 0000001 0000001 0000011 0000011 1001101 0111110 
8,5332111,6|0000100 0000001 0000001 0000011 1000011 0001101 0111110 
8,5322211,6|0010000 0000001 1000001 0000011 0000011 0001101 0111110 
8,4422220,4|0000000 0010010 0100001 0000011 0000011 0101101 0011110 
8,4432111,6|0000100 0000010 0000001 0000011 1000011 0101101 0011110 
8,4422211,6|0010000 0000010 1000001 0000011 0000011 0101101 0011110 
8,4333210,4|0000000 0001100 0000001 0100011 0100011 0001101 0011110 
8,4332220,6|0000000 0010100 0100001 0000011 0100011 0001101 0011110 
8,4333111,6|0001000 0000100 0000001 1000011 0100011 0001101 0011110 
8,4332211,6|0100000 1000100 0000001 0000011 0100011 0001101 0011110 
8,4332211,5|0010000 0010000 1100001 0000011 0000011 0001101 0011110 
8,4322221,6|0100000 1010000 0100001 0000011 0000011 0001101 0011110 
8,3333310,5|0000000 0010000 0101100 0010011 0010011 0001101 0001110 
8,5332111,5|0000100 0000100 0000100 0000011 1110011 0001101 0001110 
8,3333220,6|0000000 0011000 0100100 0100011 0010011 0001101 0001110 
8,3333211,7|0010000 0001000 1000100 0100011 0010011 0001101 0001110 
8,3333211,5|0010000 0010000 1100100 0000011 0010011 0001101 0001110 
8,3332221,7|0100000 1010000 0100100 0000011 0010011 0001101 0001110 
8,3322222,6|0110000 1010000 1100000 0000011 0000011 0001101 0001110 
8,6222211,6|0000001 0000001 0001001 0010001 0000011 0000101 1111110 
8,5222221,7|0100000 1000001 0001001 0010001 0000011 0000101 0111110 
8,4322221,7|0100000 1000010 0001001 0010001 0000011 0100101 0011110 
8,5222221,6|0011000 0000001 1000001 1000001 0000011 0000101 0111110 
8,4332220,4|0000000 0011010 0100001 0100001 0000011 0100101 0011110 
8,4332211,4|0100100 1000010 0000001 0000001 1000011 0100101 0011110 
8,4222222,6|0110000 1001000 1000001 0100001 0000011 0000101 0011110 
8,3332221,6|0100000 1000100 0001010 0010001 0100011 0010101 0001110 
8,3333220,5|0000000 0011000 0101010 0110001 0000011 0010101 0001110 
8,3322222,7|0110000 1001000 1000010 0100001 0000011 0010101 0001110 
8,5322211,4|0001110 0000001 0000001 1000001 1000001 1000001 0111110 
8,4422220,2|0000000 0011110 0100001 0100001 0100001 0100001 0011110 
8,4322221,4|0010000 0001110 1000001 0100001 0100001 0100001 0011110 
8,4422211,4|0100000 1001110 0000001 0100001 0100001 0100001 0011110 
8,4222222,4|0011000 0000110 1000001 1000001 0100001 0100001 0011110 
8,3333220,4|0000000 0000110 0001110 0010001 0110001 0110001 0001110 
8,3332221,4|0100000 1000010 0001110 0010001 0010001 0110001 0001110 

9,4443300,4|0000000 0000000 0000111 0000111 0011011 0011101 0011110 
9,5433210,6|0000000 0000001 0000011 0000111 0001011 0011101 0111110 
9,4443210,5|0000000 0000100 0000011 0000111 0101011 0011101 0011110 
9,4433310,6|0000000 0010000 0100011 0000111 0001011 0011101 0011110 
9,4433211,7|0100000 1000000 0000011 0000111 0001011 0011101 0011110 
9,5333220,6|0000000 0010001 0100001 0000111 0001011 0001101 0111110 
9,6333111,5|0000001 0000001 0000001 0000111 0001011 0001101 1111110 
9,5433111,6|0000010 0000001 0000001 0000111 0001011 1001101 0111110 
9,5333211,7|0010000 0000001 1000001 0000111 0001011 0001101 0111110 
9,4433220,5|0000000 0010010 0100001 0000111 0001011 0101101 0011110 
9,4443111,6|0000100 0000010 0000001 0000111 1001011 0101101 0011110 
9,4333311,6|0010000 0010000 1100001 0000111 0001011 0001101 0011110 
9,4333221,7|0100000 1010000 0100001 0000111 0001011 0001101 0011110 
9,3333222,7|0110000 1010000 1100000 0000111 0001011 0001101 0001110 
9,5522220,3|0000000 0000011 0000011 0000011 0000011 0111101 0111110 
9,5432220,5|0000000 0000101 0000011 0000011 0100011 0011101 0111110 
9,6422211,4|0000001 0000001 0000011 0000011 0000011 0011101 1111110 
9,5522211,4|0000010 0000001 0000011 0000011 0000011 1011101 0111110 
9,5432211,6|0000100 0000001 0000011 0000011 1000011 0011101 0111110 
9,5422221,5|0100000 1000001 0000011 0000011 0000011 0011101 0111110 
9,4442211,5|0000100 0000100 0000011 0000011 1100011 0011101 0011110 
9,4432221,5|0100000 1000100 0000011 0000011 0100011 0011101 0011110 
9,5333310,4|0000000 0000001 0001101 0010011 0010011 0001101 0111110 
9,4433310,5|0000000 0000010 0001101 0010011 0010011 0101101 0011110 
9,4333311,5|0100000 1000000 0001101 0010011 0010011 0001101 0011110 
9,6332211,6|0000001 0000001 0000101 0000011 0010011 0001101 1111110 
9,5333211,6|0001000 0000001 0000101 1000011 0010011 0001101 0111110 
9,5332221,7|0100000 1000001 0000101 0000011 0010011 0001101 0111110 
9,4442220,6|0000000 0000110 0000101 0000011 0110011 0101101 0011110 
9,4433220,6|0000000 0001010 0000101 0100011 0010011 0101101 0011110 
9,4442211,6|0000100 0000010 0000101 0000011 1010011 0101101 0011110 
9,4433211,6|0010000 0000010 1000101 0000011 0010011 0101101 0011110 
9,4432221,7|0100000 1000010 0000101 0000011 0010011 0101101 0011110 
9,4333320,6|0000000 0011000 0100101 0100011 0010011 0001101 0011110 
9,4433211,5|0001000 0001000 0000101 1100011 0010011 0001101 0011110 
9,4333311,7|0010000 0001000 1000101 0100011 0010011 0001101 0011110 
9,6322221,6|0000001 0010001 0100001 0000011 0000011 0001101 1111110 
9,5422221,6|0000010 0010001 0100001 0000011 0000011 1001101 0111110 
9,5332221,6|0010000 0010001 1100001 0000011 0000011 0001101 0111110 
9,5333211,4|0001100 0000001 0000001 1000011 1000011 0001101 0111110 
9,5322222,5|0110000 1000001 1000001 0000011 0000011 0001101 0111110 
9,4432221,6|0000100 0010010 0100001 0000011 1000011 0101101 0011110 
9,4422222,6|0110000 1000010 1000001 0000011 0000011 0101101 0011110 
9,4333320,4|0000000 0011100 0100001 0100011 0100011 0001101 0011110 
9,4333221,6|0010000 0001100 1000001 0100011 0100011 0001101 0011110 
9,4332222,7|0110000 1000100 1000001 0000011 0100011 0001101 0011110 
9,4332222,6|0110000 1010000 1100001 0000011 0000011 0001101 0011110 
9,4433220,4|0000000 0001100 0001100 0110011 0110011 0001101 0001110 
9,3333321,6|0100000 1010000 0101100 0010011 0010011 0001101 0001110 
9,4332222,5|0110000 1000100 1000100 0000011 0110011 0001101 0001110 
9,3333321,7|0010000 0011000 1100100 0100011 0010011 0001101 0001110 
9,6222222,7|0100001 1000001 0001001 0010001 0000011 0000101 1111110 
9,5322222,7|0100010 1000001 0001001 0010001 0000011 1000101 0111110 
9,4422222,7|0100010 1000010 0001001 0010001 0000011 1100101 0011110 
9,4333221,4|0000100 0011010 0100001 0100001 1000011 0100101 0011110 
9,3333330,4|0000000 0011100 0101010 0110001 0100011 0010101 0001110 
9,3333222,6|0101000 1000100 0001010 1010001 0100011 0010101 0001110 
9,5422221,4|0011110 0000001 1000001 1000001 1000001 1000001 0111110 
9,4432221,4|0000010 0011110 0100001 0100001 0100001 1100001 0011110 
9,4422222,5|0110000 1001110 1000001 0100001 0100001 0100001 0011110 
9,3333330,2|0000000 0001110 0001110 0110001 0110001 0110001 0001110 
9,3333321,4|0001000 0000110 0001110 1010001 0110001 0110001 0001110 

10,4444400,5|0000000 0000000 0001111 0010111 0011011 0011101 0011110 
10,5443310,5|0000000 0000001 0000111 0000111 0011011 0011101 0111110 
10,4444310,6|0000000 0001000 0000111 0100111 0011011 0011101 0011110 
10,4443311,6|0100000 1000000 0000111 0000111 0011011 0011101 0011110 
10,5533220,5|0000000 0000011 0000011 0000111 0001011 0111101 0111110 
10,5443220,6|0000000 0000101 0000011 0000111 0101011 0011101 0111110 
10,5433320,6|0000000 0010001 0100011 0000111 0001011 0011101 0111110 
10,6433211,6|0000001 0000001 0000011 0000111 0001011 0011101 1111110 
10,5533211,6|0000010 0000001 0000011 0000111 0001011 1011101 0111110 
10,5443211,6|0000100 0000001 0000011 0000111 1001011 0011101 0111110 
10,5433311,7|0010000 0000001 1000011 0000111 0001011 0011101 0111110 
10,5433221,7|0100000 1000001 0000011 0000111 0001011 0011101 0111110 
10,4444220,6|0000000 0001100 0000011 0100111 0101011 0011101 0011110 
10,4443320,6|0000000 0010100 0100011 0000111 0101011 0011101 0011110 
10,5443211,5|0000100 0000100 0000011 0000111 1101011 0011101 0011110 
10,4444211,7|0001000 0000100 0000011 1000111 0101011 0011101 0011110 
10,4443311,7|0010000 0000100 1000011 0000111 0101011 0011101 0011110 
10,4443221,7|0100000 1000100 0000011 0000111 0101011 0011101 0011110 
10,4433321,7|0100000 1010000 0100011 0000111 0001011 0011101 0011110 
10,6333221,7|0000001 0010001 0100001 0000111 0001011 0001101 1111110 
10,5333321,7|0010000 0010001 1100001 0000111 0001011 0001101 0111110 
10,5333222,6|0110000 1000001 1000001 0000111 0001011 0001101 0111110 
10,4443221,6|0000100 0010010 0100001 0000111 1001011 0101101 0011110 
10,4433222,7|0110000 1000010 1000001 0000111 0001011 0101101 0011110 
10,4333322,7|0110000 1010000 1100001 0000111 0001011 0001101 0011110 
10,6522221,4|0000001 0000011 0000011 0000011 0000011 0111101 1111110 
10,5532221,5|0000100 0000011 0000011 0000011 1000011 0111101 0111110 
10,5433320,5|0000000 0001101 0000011 0100011 0100011 0011101 0111110 
10,6432221,6|0000001 0000101 0000011 0000011 0100011 0011101 1111110 
10,5532221,6|0000010 0000101 0000011 0000011 0100011 1011101 0111110 
10,5442221,6|0000100 0000101 0000011 0000011 1100011 0011101 0111110 
10,5433221,5|0100000 1000101 0000011 0000011 0100011 0011101 0111110 
10,6422222,5|0100001 1000001 0000011 0000011 0000011 0011101 1111110 
10,5522222,4|0100010 1000001 0000011 0000011 0000011 1011101 0111110 
10,5433221,6|0001100 0000001 0000011 1000011 1000011 0011101 0111110 
10,5432222,6|0100100 1000001 0000011 0000011 1000011 0011101 0111110 
10,4433330,4|0000000 0011100 0100011 0100011 0100011 0011101 0011110 
10,4433321,6|0010000 0001100 1000011 0100011 0100011 0011101 0011110 
10,4433321,5|0100000 1001100 0000011 0100011 0100011 0011101 0011110 
10,4442222,6|0100100 1000100 0000011 0000011 1100011 0011101 0011110 
10,6333311,4|0000001 0000001 0001101 0010011 0010011 0001101 1111110 
10,5433311,6|0000010 0000001 0001101 0010011 0010011 1001101 0111110 
10,5333321,5|0100000 1000001 0001101 0010011 0010011 0001101 0111110 
10,4443320,5|0000000 0000110 0001101 0010011 0110011 0101101 0011110 
10,4443320,4|0000000 0010010 0101101 0010011 0010011 0101101 0011110 
10,5433311,5|0000010 0000010 0001101 0010011 0010011 1101101 0011110 
10,5333330,6|0000000 0011001 0100101 0100011 0010011 0001101 0111110 
10,6333221,6|0000001 0001001 0000101 0100011 0010011 0001101 1111110 
10,6332222,7|0100001 1000001 0000101 0000011 0010011 0001101 1111110 
10,5333222,7|0101000 1000001 0000101 1000011 0010011 0001101 0111110 
10,4433330,6|0000000 0011010 0100101 0100011 0010011 0101101 0011110 
10,5432222,7|0100010 1000010 0000101 0000011 0010011 1101101 0011110 
10,4442222,7|0100100 1000010 0000101 0000011 1010011 0101101 0011110 
10,4433222,6|0101000 1000010 0000101 1000011 0010011 0101101 0011110 
10,4333331,7|0100000 1011000 0100101 0100011 0010011 0001101 0011110 
10,6332222,5|0010001 0010001 1100001 0000011 0000011 0001101 1111110 
10,5432222,4|0110010 1000001 1000001 0000011 0000011 1001101 0111110 
10,5333321,6|0011100 0000001 1000001 1000011 1000011 0001101 0111110 
10,4433222,4|0001100 0010010 0100001 1000011 1000011 0101101 0011110 
10,4433222,5|0110000 1010010 1100001 0000011 0000011 0101101 0011110 
10,4433321,4|0011100 0000010 1000001 1000011 1000011 0101101 0011110 
10,4333331,6|0010000 0011100 1100001 0100011 0100011 0001101 0011110 
10,4443221,4|0001100 0001100 0000001 1100011 1100011 0001101 0011110 
10,4333322,6|0110000 1001100 1000001 0100011 0100011 0001101 0011110 
10,4433330,5|0000000 0011100 0101100 0110011 0110011 0001101 0001110 
10,3333332,7|0110000 1011000 1100100 0100011 0010011 0001101 0001110 
10,3333332,6|0111000 1000100 1001010 1010001 0100011 0010101 0001110 
10,5522222,2|0111110 1000001 1000001 1000001 1000001 1000001 0111110 
10,4333331,4|0001110 0001110 0000001 1100001 1100001 1100001 0011110 
10,3333332,5|0101000 1000110 0001110 1010001 0110001 0110001 0001110 

